end_time,artist_name,track_name,ms_played
2021-04-22 05:51,50 Cent,Back Down,243013
2021-04-22 05:55,50 Cent,P.I.M.P.,249466
2021-04-22 18:15,50 Cent,Like My Style,193253
2021-04-23 00:48,Justin Timberlake,Suit & Tie (feat. Jay-Z),6002
2021-04-23 00:48,Justin Timberlake,Pusher Love Girl,482360
2021-04-23 00:49,Justin Timberlake,Strawberry Bubblegum,12480
2021-04-23 00:49,Justin Timberlake,Don't Hold the Wall,82218
2021-04-23 00:56,Justin Timberlake,Tunnel Vision,406640
2021-04-23 00:57,Justin Timberlake,That Girl,9194
2021-04-23 00:57,Justin Timberlake,Spaceship Coupe,62138
2021-04-23 04:00,50 Cent,P.I.M.P.,249467
2021-04-23 04:04,50 Cent,Like My Style,193253
2021-04-23 04:07,50 Cent,Poor Lil Rich,199213
2021-04-23 04:11,50 Cent,21 Questions,224427
2021-04-23 04:15,50 Cent,Don't Push Me,248893
2021-04-23 04:19,50 Cent,Gotta Make It To Heaven,240680
2021-04-23 04:23,50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400
